Variants	Induction>1.5	M.RNAseq	M.H3K4me2	M.H3K4me3	M.H3K27me3	M.H3K36me3	GC content
89.1667	2.265060241	83	4291	4679	32683	21977	29.888
89.3333	1.797101449	207	5128	6334	41717	34913	44.04
138.833	26.25862069	348	5058	6475	42469	37565	44.076
134	9.311163895	421	5042	6660	44584	41529	45.9
170.667	NA	1944	5175	6872	44933	44413	46.332
161.333	1.721518987	869	4851	6611	40147	40618	47.26
165	2.096676737	331	4847	6643	40847	47063	48.204
127.833	1.975	80	4524	6794	36619	43428	48.684
199	11.25139665	179	4644	6205	40575	44308	45.972
158.5	1.907120743	323	5228	6991	43727	45877	46.628
324.167	6.994923858	9456	8905	11867	41757	43506	45.404
221.167	1.830712185	7821	5945	7705	39651	45208	47.392
237.667	2.507142857	280	4639	7037	40343	48385	47.516
514.167	84.72483221	149	4611	7020	43174	50475	47.532
198	5.00390117	2307	5343	6914	40744	44690	46.812
137	9.107784431	1002	5151	6711	44594	45872	45.392
219.667	NA	11240	7884	8433	42827	47502	47.036
260.167	2.404907975	326	5247	7027	43019	46434	45.832
118.167	NA	9848	5052	7300	27664	33625	48.616
116	NA	566	4634	7003	35473	40655	44.924
209.667	6.797856795	2053	11265	17017	35930	42859	46.296
372	NA	2411	5474	7671	27462	43657	46.524
109.5	2.156889809	13041	28956	35128	5426	30817	48.936
63.1667	3.017516543	5138	33327	34380	5601	26331	48.736
57.1667	1.543377189	10109	36738	45278	5403	37304	50.104
80.1667	1.555047728	42009	14478	17023	23927	37820	48.164
315.5	NA	2979	5701	7656	41765	45242	45.86
58.1667	NA	1695	11986	9788	37478	39497	47.096
31.1667	NA	21158	5821	7769	44042	48015	46.764
102.333	8.161977835	1173	5312	7491	41665	40164	46.024
53.6667	NA	12918	13920	23846	26185	36885	48.044
52.6667	NA	7305	23400	40488	6025	31435	49.104
61.1667	NA	21196	22192	19244	5662	38544	47.856
23.5	NA	4696	29757	30508	5122	36313	49.036
16	NA	24050	43342	55192	5217	29406	48.044
16.5	NA	33989	40449	31717	5150	33507	49.164
12	NA	25522	33349	30455	4779	35827	49.58
27.3333	NA	18250	47599	54088	4971	39553	49.868
28	1.62120068	21188	47950	55739	4867	37538	50.028
29.1667	NA	18034	17804	20044	5461	25034	47.624
