GC content	Induction>1.5	Variants	M.H3K27me3	M.H3K4me2	M.H3K4me3
29.888	2.265060241	89.1667	32683	4291	4679
44.04	1.797101449	89.3333	41717	5128	6334
44.076	26.25862069	138.833	42469	5058	6475
45.9	9.311163895	134	44584	5042	6660
46.332	NA	170.667	44933	5175	6872
47.26	1.721518987	161.333	40147	4851	6611
48.204	2.096676737	165	40847	4847	6643
48.684	1.975	127.833	36619	4524	6794
45.972	11.25139665	199	40575	4644	6205
46.628	1.907120743	158.5	43727	5228	6991
45.404	6.994923858	324.167	41757	8905	11867
47.392	1.830712185	221.167	39651	5945	7705
47.516	2.507142857	237.667	40343	4639	7037
47.532	84.72483221	514.167	43174	4611	7020
46.812	5.00390117	198	40744	5343	6914
45.392	9.107784431	137	44594	5151	6711
47.036	NA	219.667	42827	7884	8433
45.832	2.404907975	260.167	43019	5247	7027
48.616	NA	118.167	27664	5052	7300
44.924	NA	116	35473	4634	7003
46.296	6.797856795	209.667	35930	11265	17017
46.524	NA	372	27462	5474	7671
48.936	2.156889809	109.5	5426	28956	35128
48.736	3.017516543	63.1667	5601	33327	34380
50.104	1.543377189	57.1667	5403	36738	45278
48.164	1.555047728	80.1667	23927	14478	17023
45.86	NA	315.5	41765	5701	7656
47.096	NA	58.1667	37478	11986	9788
46.764	NA	31.1667	44042	5821	7769
46.024	8.161977835	102.333	41665	5312	7491
48.044	NA	53.6667	26185	13920	23846
49.104	NA	52.6667	6025	23400	40488
47.856	NA	61.1667	5662	22192	19244
49.036	NA	23.5	5122	29757	30508
48.044	NA	16	5217	43342	55192
49.164	NA	16.5	5150	40449	31717
49.58	NA	12	4779	33349	30455
49.868	NA	27.3333	4971	47599	54088
50.028	1.62120068	28	4867	47950	55739
47.624	NA	29.1667	5461	17804	20044
50.724	2.074582083	25.6667	4429	13552	17437
48.092	1.874632316	30	5254	34519	27809
50.176	NA	16.6667	5116	38622	43148
48.96	NA	20.3333	6952	21106	16115
48.544	1.960020608	18.3333	13332	20314	21357
47.66	1.787153652	26.5	5347	22483	20546
48.388	NA	22	5224	36889	31877
49.74	NA	19.8333	5057	46327	44141
49.784	NA	17.1667	5042	55830	64973
49.372	NA	19.3333	4749	35717	33544
48.492	2.251519692	26.6667	5118	34766	37462
49.508	NA	10.5	6448	43294	43715
49.132	NA	10.5	6622	28432	27653
48.288	NA	20.8333	7172	23287	17669
48.592	2.328221606	36.3333	5163	50238	35962
50.104	NA	43.3333	4426	30704	30645
48.796	NA	35.5	5569	43734	40727
48.92	NA	52.6667	5303	44398	37720
48.472	NA	24.5	5149	50895	47752
49.68	NA	9	5074	50587	52804
48.684	2.444444444	11.8333	5370	43526	44572
49.404	NA	15.5	5033	22882	26574
49.648	NA	9.33333	5193	58784	48053
50.244	NA	7.33333	4756	52646	51605
49.328	NA	8.83333	4849	31094	43568
48.784	NA	12	5176	26735	29333
48.72	NA	8	5181	27866	32392
49.36	NA	12.1667	4883	25484	35603
49.396	NA	6.5	7326	23523	20581
49.7	NA	10.5	4544	29911	20952
49.524	2.108478538	7.33333	5099	49786	61351
48.472	2.811480757	12	5249	30356	48358
50.02	NA	7.83333	4406	25692	17600
48.516	1.880526577	16.6667	4804	21513	23239
48.692	NA	12	5041	32881	21810
49.38	NA	11.6667	5328	38186	45052
47.496	NA	13.5	5270	23509	27443
49.24	NA	8.5	5098	51394	53835
49.328	NA	8.5	5187	38047	30623
49.064	NA	12	4968	28402	27761
49.028	4.737653754	8.16667	4542	36178	49370
49.892	2.614582679	13.1667	4689	40495	49285
50.768	1.983032783	18	5069	45367	58365
50.228	NA	8	4849	38113	32343
49.012	1.726132903	16.3333	11636	29913	34197
49.36	NA	21	7346	35896	34573
48.324	4.41796875	16.8333	5251	39675	51164
49.436	NA	18.1667	4464	27289	24898
48.844	NA	19.1667	4859	29232	44444
48.588	NA	16.6667	5543	17155	11726
49.868	NA	12.5	5248	39268	37443
47.728	NA	21.1667	5663	22531	15255
48.948	NA	26.5	5097	44206	49004
48.856	NA	14	5131	37077	36542
49.536	NA	17.5	4982	35221	41137
49.372	1.647108131	19.3333	4980	34571	45530
49.288	NA	26.1667	5164	25908	28996
48.892	NA	17.5	5218	28525	29614
48.876	NA	17.5	5023	40728	40950
47.492	NA	34.5	10880	33408	22739
49.056	NA	26.3333	19409	21614	26968
48.872	2.049973972	28	5158	56308	58837
48.212	NA	26.5	5551	22622	37256
49.168	4.238035694	30.3333	5306	19521	27702
49.636	NA	33.1667	4498	16335	27741
48.996	NA	28.6667	5262	29701	40558
48.38	NA	13.3333	5082	33213	39313
48.788	1.914788274	19	5142	29192	34910
49.42	1.582546306	34.3333	4676	33217	22683
49.684	NA	28.1667	4959	34941	32960
48.908	2.459022833	15	4604	19715	20215
48.592	NA	23.6667	4956	38885	34907
49.332	NA	12.3333	5203	24729	34041
49.012	NA	34.1667	6148	49782	57166
49.828	1.853372434	19.5	4768	46058	48074
48.636	NA	7.83333	4960	26824	32447
48.388	NA	17.1667	5124	23247	40737
48.848	NA	14.3333	4776	37133	32470
49.5	NA	13	6653	44999	36279
