	logFC	logCPM	PValue	FDR
FGRRES_00003	1.811336	2.060955	0.01389166	0.03422095
FGRRES_00004	4.786322	5.886166	0.0001048138	0.0005085132
FGRRES_00005	3.67337063144941	5.15921664494064	2.67812630631104e-05	0.000150288028967909
FGRRES_00006	1.949231	2.539029	0.0139487	0.03432771
FGRRES_00011	-1.365494	2.456008	0.04979543	0.09890737
FGRRES_00012	1.714709	0.5482421	0.05200489	0.1024336
FGRRES_00015	0.4699262	0.8338777	0.5876059	0.6865997
FGRRES_00016_M	5.94439554363567	1.69937610204245	1.13446474805122e-06	9.16097165967255e-06
FGRRES_00017	-7.06941020398618	3.0808113847884	6.45947564957972e-09	8.39577116465732e-08
FGRRES_00018	-0.9952525	4.887681	0.06889203	0.1287337
FGRRES_00021	-0.9976293	1.254528	0.3545058	0.4703486
FGRRES_00024	1.097787	4.143947	0.05995205	0.1150592
FGRRES_00025	-0.5681998	1.90029	0.3559851	0.4718499
FGRRES_00027	-8.57828630208918	2.23286928488896	3.98421293057506e-07	3.61544004477685e-06
FGRRES_00028	7.13980566338266	2.77525853268135	3.59389779027806e-12	7.13063486615864e-11
FGRRES_00032	1.584451	1.007089	0.06025914	0.1155464
FGRRES_00033	-2.623516	2.457108	0.003128412	0.009673121
FGRRES_00036	5.31907251429792	1.8817820175539	1.60618634712178e-07	1.59487103616768e-06
FGRRES_00039	0.1096106	1.215176	0.9413597	0.9580436
FGRRES_00040	-3.314407	2.095119	0.0002922708	0.001255746
FGRRES_00043	8.92155079100695	2.3668430229048	5.84974187318957e-11	1.0141732995164e-09
FGRRES_00044	5.23911856242449	1.03068483534404	1.07535505835511e-05	6.71509116704717e-05
FGRRES_00045	0.3683723	3.079237	0.4779325	0.5887461
FGRRES_00046	5.52523850091558	2.08744053681455	4.89751001650127e-08	5.3689571928372e-07
FGRRES_00047	7.63914935086593	1.15506735087056	9.47756567704363e-07	7.76302039946826e-06
FGRRES_00048	6.25658449956523	1.94307051788787	1.56396497980163e-08	1.88754850775387e-07
FGRRES_00049	9.09818646088077	2.5391980626238	9.24919716857491e-12	1.74576585861815e-10
FGRRES_00050	3.342723	1.292339	0.0006011109	0.002334044
FGRRES_00051	-0.2281767	3.427887	0.2695522	0.3804452
FGRRES_00053	5.20686173660817	1.01723566198325	1.44550489263539e-05	8.72528620676966e-05
FGRRES_00058	-0.006847932	5.228389	0.9806732	0.9813244
FGRRES_00059	-1.448407	7.743494	0.027066	0.059796
FGRRES_00060	7.83990219624203	7.39259120392072	8.18870650339624e-15	2.10597231472416e-13
FGRRES_00061	7.14273348093441	6.1629125417203	9.19821727868611e-12	1.73916815549792e-10
FGRRES_00062	6.63108119370341	8.31485822401359	1.8669704122593e-12	3.81586250174203e-11
FGRRES_00064_M	0.4013522	1.934643	0.6751369	0.7596237
FGRRES_00065	4.50349506960878	1.58312938803214	1.03500059200969e-06	8.42675275700009e-06
FGRRES_00066	1.238474	6.528568	0.07225866	0.133758
FGRRES_00067	0.3216158	5.4902	0.6321225	0.7229872
FGRRES_00068	-1.24989	6.419181	0.07585994	0.1390958
FGRRES_00069	-2.213309	5.027954	9.623722e-05	0.0004721802
FGRRES_00070	-3.599244	4.812488	0.0002367706	0.001045857
FGRRES_00071	5.01904769009027	5.28901037810208	6.06629972287821e-12	1.17988442459493e-10
FGRRES_00072	-5.18162420579535	2.91830161836993	1.5094776591105e-07	1.50434903896476e-06
FGRRES_00080	2.086469	3.177483	0.004943566	0.01422252
FGRRES_00092	-0.149385	2.083629	0.7987699	0.8590021
FGRRES_00096	8.63289411591746	7.9764198040151	8.87019169848426e-139	2.29209977389642e-136
FGRRES_00097	-0.5556313	2.922646	0.1872044	0.28628
FGRRES_00100	-1.643198	5.483994	0.002035083	0.006691998
FGRRES_00101	1.203185	2.575547	0.09427377	0.1655872
FGRRES_00102	-2.052894	1.829288	0.01569251	0.03788052
FGRRES_00107	-1.022491	2.177474	0.135558	0.2218687
FGRRES_00109	2.510461	0.9791669	0.005808244	0.01628439
FGRRES_00116	-6.60578613329394	7.06320062216517	3.92256031139491e-37	2.64419546953845e-35
FGRRES_00117	-6.22118038347321	6.25289037883571	1.34797601298436e-37	9.3508793992482e-36
FGRRES_00118	9.79657487125337	3.23549751952752	6.53421876074657e-17	1.99763031578542e-15
FGRRES_00122	0.4574393	0.9843144	0.5276781	0.6331553
FGRRES_00124	2.569397	0.9732808	0.003721611	0.01118854
FGRRES_00126	3.055269	1.696834	0.0001375396	0.000646198
FGRRES_00136	0.66757	8.111721	0.2789716	0.3906179
FGRRES_00137	3.487123	0.8365834	0.000794126	0.002976053
FGRRES_00138	3.35664025267028	4.24937901023832	4.92580447572334e-08	5.39452633451316e-07
FGRRES_00139	1.00557	2.910437	0.1407871	0.2281562
FGRRES_00140	-4.11782504080777	6.21088224174224	1.63183251519906e-07	1.61149029003234e-06
FGRRES_00144	-1.312463	1.507299	0.153222	0.2439013
FGRRES_00147	-1.897629	2.285504	0.01011579	0.02623337
FGRRES_00148	-2.570671	0.4918081	0.005771365	0.0162145
FGRRES_00150	8.6594284620895	7.47969794013463	8.1494547972958e-140	2.15722031500125e-137
FGRRES_00152	-0.4073724	5.867386	0.4460301	0.5594397
FGRRES_00160	0.5651804	1.621775	0.4512407	0.5646622
FGRRES_00162	4.044515	0.6790572	0.0002520228	0.001106027
FGRRES_00163	4.44746406986778	2.78296925239585	2.54683904692462e-08	2.94364687713236e-07
FGRRES_00165	3.096135	3.282306	0.0001353387	0.0006383447
FGRRES_00166	0.003697207	5.651754	0.9806433	0.9813244
FGRRES_00168	0.3404993	5.48936	0.5038151	0.6125132
FGRRES_00169	1.719214	5.593789	0.003024641	0.009410159
FGRRES_00170	-0.9141505	5.331955	0.07783866	0.1419574
FGRRES_00171	7.303050791527	7.10738968242927	3.15509280890988e-16	9.20489845567176e-15
FGRRES_00172	6.84820861972022	2.44443219849476	1.18564598355723e-08	1.45893603849734e-07
FGRRES_00173	0.6131442	5.303217	0.2417962	0.3485738
FGRRES_00174	0.2348505	5.077147	0.6832606	0.7666295
FGRRES_00175	-1.515366	7.455007	0.02230858	0.05088589
FGRRES_00176	0.1172446	5.072314	0.8189928	0.8725369
FGRRES_00177	5.50698112647956	5.73124674718524	1.59721691488458e-23	6.9897561198558e-22
FGRRES_00179	-0.538938	3.905789	0.4139001	0.5299113
