	logFC	logCPM	PValue	FDR
FGRRES_00011	-1.365494	2.456008	0.04979543	0.09890737
FGRRES_00012	1.714709	0.5482421	0.05200489	0.1024336
FGRRES_00015	0.4699262	0.8338777	0.5876059	0.6865997
FGRRES_00018	-0.9952525	4.887681	0.06889203	0.1287337
FGRRES_00021	-0.9976293	1.254528	0.3545058	0.4703486
FGRRES_00024	1.097787	4.143947	0.05995205	0.1150592
FGRRES_00025	-0.5681998	1.90029	0.3559851	0.4718499
FGRRES_00032	1.584451	1.007089	0.06025914	0.1155464
FGRRES_00039	0.1096106	1.215176	0.9413597	0.9580436
FGRRES_00045	0.3683723	3.079237	0.4779325	0.5887461
FGRRES_00051	-0.2281767	3.427887	0.2695522	0.3804452
FGRRES_00058	-0.006847932	5.228389	0.9806732	0.9813244
FGRRES_00059	-1.448407	7.743494	0.027066	0.059796
FGRRES_00064_M	0.4013522	1.934643	0.6751369	0.7596237
FGRRES_00066	1.238474	6.528568	0.07225866	0.133758
FGRRES_00067	0.3216158	5.4902	0.6321225	0.7229872
FGRRES_00068	-1.24989	6.419181	0.07585994	0.1390958
FGRRES_00092	-0.149385	2.083629	0.7987699	0.8590021
FGRRES_00097	-0.5556313	2.922646	0.1872044	0.28628
FGRRES_00101	1.203185	2.575547	0.09427377	0.1655872
FGRRES_00107	-1.022491	2.177474	0.135558	0.2218687
FGRRES_00122	0.4574393	0.9843144	0.5276781	0.6331553
FGRRES_00136	0.66757	8.111721	0.2789716	0.3906179
FGRRES_00139	1.00557	2.910437	0.1407871	0.2281562
FGRRES_00144	-1.312463	1.507299	0.153222	0.2439013
FGRRES_00152	-0.4073724	5.867386	0.4460301	0.5594397
FGRRES_00160	0.5651804	1.621775	0.4512407	0.5646622
FGRRES_00166	0.003697207	5.651754	0.9806433	0.9813244
FGRRES_00168	0.3404993	5.48936	0.5038151	0.6125132
FGRRES_00170	-0.9141505	5.331955	0.07783866	0.1419574
FGRRES_00173	0.6131442	5.303217	0.2417962	0.3485738
FGRRES_00174	0.2348505	5.077147	0.6832606	0.7666295
FGRRES_00175	-1.515366	7.455007	0.02230858	0.05088589
FGRRES_00176	0.1172446	5.072314	0.8189928	0.8725369
FGRRES_00179	-0.538938	3.905789	0.4139001	0.5299113
FGRRES_00183	0.7807142	4.585749	0.1428785	0.2307842
FGRRES_00185	-0.1630853	6.668226	0.7255627	0.8011529
FGRRES_00188	-0.905457	4.718965	0.09086696	0.1604848
FGRRES_00189	1.151321	5.97554	0.02790639	0.06129691
FGRRES_00190	0.7085161	5.858265	0.1726591	0.2681344
FGRRES_00192	0.7110311	10.35635	0.2362735	0.3430389
FGRRES_00193	1.718057	0.5664548	0.06286089	0.1197045
FGRRES_00195	1.224054	3.474264	0.04303909	0.08808282
FGRRES_00197	1.807329	1.492573	0.03402122	0.07239849
FGRRES_00198	-0.07109389	5.536316	0.2610207	0.3711329
FGRRES_00200	-0.9740939	7.931983	0.1534047	0.244072
FGRRES_00201	-0.8112443	5.896056	0.1310721	0.2162221
FGRRES_00209	0.2750248	4.216602	0.6712086	0.7567657
FGRRES_00214	-1.931478	1.91661	0.03103367	0.06688014
FGRRES_00217	0.3549794	2.910332	0.6077472	0.7028858
FGRRES_00218	1.348922	1.175052	0.08566366	0.1532217
FGRRES_00219	-0.6871333	2.12764	0.282903	0.3947475
FGRRES_00232	1.524085	1.841823	0.03415627	0.07267164
FGRRES_00235	-0.1527745	0.8834868	0.9196715	0.9434022
FGRRES_00246	0.05031507	1.667584	0.86341	0.9044097
FGRRES_00247	-0.4906675	1.714402	0.4663173	0.5785256
FGRRES_00249	-1.196652	5.216424	0.02411502	0.05431009
FGRRES_00258	-1.330966	1.11825	0.07772925	0.1418523
FGRRES_00261	0.2504381	7.436235	0.662505	0.7496786
FGRRES_00262_M	0.9729843	1.123525	0.08394037	0.1508286
FGRRES_00263	0.05972864	5.143841	0.9115708	0.938382
FGRRES_00264	0.8915294	5.602846	0.08347411	0.1501493
FGRRES_00265	-0.5294026	2.577628	0.3901265	0.5065857
FGRRES_00267	0.4487656	0.4056701	0.5174323	0.6247989
FGRRES_00268	-1.01692	2.472775	0.1043183	0.18031
FGRRES_00269	0.3528747	4.199329	0.549993	0.6527145
FGRRES_00270	1.09692	4.757561	0.1183784	0.1994041
FGRRES_00271	-0.722427	7.643692	0.2613913	0.3713679
FGRRES_00275_M	0.06785446	3.212042	0.8784433	0.9141284
FGRRES_00276	-0.4119256	5.042009	0.5208626	0.6272661
FGRRES_00278	0.7200457	5.905883	0.1968336	0.298033
FGRRES_00280_M	-0.1332696	4.091954	0.7987045	0.8590021
FGRRES_00281	0.6737266	4.792442	0.1948873	0.2958198
FGRRES_00283	-0.3006118	4.633761	0.5691801	0.6704268
FGRRES_00286	1.300757	7.018976	0.02644481	0.05867752
FGRRES_00287	-0.9011218	3.802236	0.1334003	0.219097
FGRRES_00288	-0.1271044	4.642339	0.8063987	0.8637826
FGRRES_00291	1.165804	4.900642	0.02742275	0.06036898
FGRRES_00293	-0.5270682	4.621811	0.3242796	0.43861
FGRRES_00297	-0.1886123	5.035263	0.730864	0.8050408
FGRRES_00298	-1.13857	7.68391	0.05391809	0.1056379
FGRRES_00299	0.478167	7.2499	0.4071621	0.5236738
FGRRES_00300	0.3551134	8.139109	0.5404833	0.6450258
FGRRES_00301	-0.2226628	4.677228	0.67321	0.7582345
FGRRES_00302	0.6418655	3.709792	0.2838978	0.395901
FGRRES_00303	-0.953142	4.687187	0.08254861	0.1488453
FGRRES_00304	0.4520319	4.516324	0.4027688	0.5198918
FGRRES_00307	0.02572924	3.829311	0.9731451	0.9813244
FGRRES_00308	-1.06993	7.398855	0.0720411	0.1334691
FGRRES_00309	0.08851791	4.548204	0.8887711	0.9216966
FGRRES_00310	0.6565126	7.806257	0.2578169	0.3674923
FGRRES_00312	-1.505553	3.308331	0.03653138	0.07679161
FGRRES_00313	-1.322738	3.653986	0.02629467	0.05841884
FGRRES_00314	-0.03075281	8.513474	0.9603528	0.9725398
FGRRES_00317	0.4356139	5.202515	0.3901265	0.5065857
FGRRES_00318	0.3943472	3.721018	0.5140036	0.621835
FGRRES_00319	0.4217218	3.101365	0.5084337	0.6165811
FGRRES_00321	1.325884	4.160875	0.04702454	0.0946684
FGRRES_00324	-0.9099699	6.110674	0.08313379	0.1496767
FGRRES_00325	-0.1199909	3.112296	0.8643779	0.9048055
FGRRES_00327	0.5141433	5.321582	0.3253165	0.4396289
FGRRES_00328	1.145395	6.164077	0.03539005	0.0748564
FGRRES_00329	0.03452502	3.572633	0.9529209	0.9669082
FGRRES_00333	-0.2010902	4.674447	0.7035873	0.7829355
FGRRES_00334	-0.8503533	2.987338	0.1720917	0.2674655
FGRRES_00335	-0.7168664	4.885304	0.1696017	0.2645559
FGRRES_00337	-0.4084818	5.760456	0.4342692	0.5493151
FGRRES_00339	0.8573094	4.04364	0.1552983	0.2463391
FGRRES_00343	-0.9057793	7.556515	0.1204945	0.2021529
FGRRES_00345	0.2326912	2.632823	0.7509005	0.8225195
FGRRES_00349	-0.134746	5.465528	0.800487	0.860252
FGRRES_00350	0.8052751	6.401346	0.1335131	0.2192491
FGRRES_00352	-0.6872931	5.778554	0.2035921	0.3054866
FGRRES_00354	0.1766593	0.7201463	0.8161117	0.8708347
FGRRES_00357	-0.4271186	2.854473	0.5451304	0.6489306
FGRRES_00358	0.6035	5.553081	0.238148	0.3446838
FGRRES_00359	0.9704203	5.588791	0.07849202	0.1429798
FGRRES_00360_M	0.7246721	4.730698	0.171755	0.2670951
FGRRES_00362	0.004173578	4.542092	0.9796919	0.9813244
FGRRES_00363	0.4700601	4.430963	0.4248514	0.5409329
FGRRES_00364	-0.05027337	4.754002	0.9157617	0.9412017
FGRRES_00365	0.5196012	4.01646	0.385894	0.5024724
FGRRES_00369	1.017486	6.957879	0.07377224	0.1359338
FGRRES_00370	0.6414725	3.891453	0.2770026	0.3887133
FGRRES_00372	1.242972	4.568871	0.04882265	0.09738508
FGRRES_00373	0.5493723	8.778667	0.3538661	0.4696682
FGRRES_00374	-1.280715	7.11228	0.050657	0.1001969
FGRRES_00375	-1.022158	5.52872	0.07594867	0.139235
FGRRES_00376	0.6092296	8.021001	0.2940151	0.4065417
FGRRES_00378	-0.3351728	5.236654	0.5224226	0.6285655
FGRRES_00379	1.028463	2.777431	0.1112207	0.1895973
FGRRES_00380	0.538012	4.583038	0.3221179	0.4367203
FGRRES_00383	0.5940969	3.144697	0.3432311	0.4588676
FGRRES_00384	-0.6518785	1.386346	0.4966535	0.6057743
FGRRES_00385	-1.033682	8.730095	0.1067668	0.18361
FGRRES_00387	0.1755605	8.687502	0.7684082	0.836295
FGRRES_00391	-0.4331344	3.635635	0.4721843	0.5839353
FGRRES_00393	0.2787981	6.964339	0.6207648	0.7132289
FGRRES_00394	-0.2533963	0.7887835	0.8605886	0.9019766
FGRRES_00397	-0.2783915	8.885341	0.6375064	0.7275349
FGRRES_00398	0.9982722	4.905372	0.108123	0.1855565
FGRRES_00399	-1.026903	5.120239	0.09055443	0.1601674
FGRRES_00402	-0.3502252	3.718385	0.534516	0.6396628
FGRRES_00404	0.6972145	2.652628	0.3107528	0.4242265
FGRRES_00407	0.7765011	4.567465	0.1589767	0.2514389
FGRRES_00408	-0.3944308	6.621482	0.4887119	0.598712
FGRRES_00409	1.128599	5.044411	0.03111681	0.067046
FGRRES_00410	-0.8191531	4.818722	0.1298162	0.2146071
FGRRES_00414	-0.03990661	3.887493	0.9458708	0.9613725
FGRRES_00415	-0.8765061	9.842571	0.1955897	0.296588
FGRRES_00418	-0.7758177	3.927327	0.167806	0.2622693
FGRRES_00419	-0.7125276	3.311944	0.2682688	0.378907
FGRRES_00421	0.4667984	8.534494	0.4379862	0.5528569
FGRRES_00423	0.9533031	2.311944	0.1494149	0.2391034
FGRRES_00425	0.3807382	4.964996	0.4905799	0.600493
FGRRES_00426	0.1179262	0.4503597	0.424975	0.5409634
FGRRES_00427	0.03736477	3.04222	0.9288767	0.9497926
FGRRES_00428	0.2895058	5.477117	0.5787766	0.6788585
