	Mycelia.1	Mycelia.2	Infection.1	Infection.2
FGRRES_16072_M	22	9	5	1
FGRRES_11606	0	0	0	0
FGRRES_20000	0	0	0	0
FGRRES_15662	0	0	0	0
FGRRES_16069	7	7	51	18
FGRRES_11584	0	0	0	0
FGRRES_16068	6	2	4	1
FGRRES_11582	3	0	1	0
FGRRES_11581	36	20	26	6
FGRRES_11580	0	11	19	4
FGRRES_16067	0	0	0	0
FGRRES_11641	0	0	0	0
FGRRES_11605	3	2	12	0
FGRRES_11642	14	9	26	3
FGRRES_11643	0	0	9	1
FGRRES_11600	0	0	21	2
FGRRES_11601	0	0	0	0
FGRRES_00001	0	0	0	0
FGRRES_00002	16	6	6	0
FGRRES_11644	2	1	4	0
FGRRES_00003	14	9	70	6
FGRRES_20001	0	0	0	0
FGRRES_15677_M	0	0	0	0
FGRRES_00004	59	1	1798	33
FGRRES_00005	68	6	902	46
FGRRES_00006	6	22	91	12
FGRRES_17598	0	0	65	9
FGRRES_11645	0	0	0	0
FGRRES_11646	0	0	0	0
FGRRES_11647	0	0	200	37
FGRRES_00009	31	2	0	0
FGRRES_00010	1	0	0	0
FGRRES_00011	38	54	33	2
FGRRES_00012	2	5	14	4
FGRRES_00013	1	0	0	0
FGRRES_11648_M	1	2	17	10
FGRRES_11649	0	0	0	0
FGRRES_00014_M	0	0	5	0
FGRRES_00015	8	8	17	2
FGRRES_11650	0	0	0	0
FGRRES_00016_M	1	0	75	4
FGRRES_00017	172	43	1	0
FGRRES_00018	339	181	150	37
FGRRES_00019	4	1	2	0
FGRRES_15678_M	36	2	3	0
FGRRES_00021	28	8	7	4
FGRRES_11651_2_M	67	6	147	36
FGRRES_00023	17	0	1	0
FGRRES_00024	59	82	200	42
FGRRES_00025	31	22	31	2
FGRRES_00026_M	8	5	4	0
FGRRES_00027	86	26	0	0
FGRRES_00028	0	1	105	27
FGRRES_15046	0	0	0	0
FGRRES_00029	2	2	1	2
FGRRES_00030_M	0	3	4	1
FGRRES_20002	1	2	0	0
FGRRES_15679	0	0	2	0
FGRRES_00032	4	7	27	3
FGRRES_00033	22	80	10	3
FGRRES_00034	0	0	1	1
FGRRES_11653	9	11	7	1
FGRRES_11654	1	2	12	1
FGRRES_00036	0	2	65	11
FGRRES_15680_M	5	6	31	4
FGRRES_11656	1	6	22	1
FGRRES_00038_M	3	7	7	1
FGRRES_00039	19	7	22	2
FGRRES_00040	28	56	6	1
FGRRES_11657	0	0	0	0
FGRRES_11658	0	0	7	5
