	logFC	logCPM	PValue	FDR
FGRRES_00263	0.05972864	5.143841	0.9115708	0.938382
FGRRES_00264	0.8915294	5.602846	0.08347411	0.1501493
FGRRES_00265	-0.5294026	2.577628	0.3901265	0.5065857
FGRRES_00266	-3.56546057916642	4.41762306203598	2.3281260136604e-07	2.22422109386059e-06
FGRRES_00267	0.4487656	0.4056701	0.5174323	0.6247989
FGRRES_00268	-1.01692	2.472775	0.1043183	0.18031
FGRRES_00269	0.3528747	4.199329	0.549993	0.6527145
FGRRES_00270	1.09692	4.757561	0.1183784	0.1994041
FGRRES_00271	-0.722427	7.643692	0.2613913	0.3713679
FGRRES_00272	-3.09245072298671	3.49152613982869	8.96112686420625e-06	5.71752556479897e-05
FGRRES_00275_M	0.06785446	3.212042	0.8784433	0.9141284
FGRRES_00276	-0.4119256	5.042009	0.5208626	0.6272661
FGRRES_00278	0.7200457	5.905883	0.1968336	0.298033
FGRRES_00279	-1.696879	5.46556	0.001288841	0.004504925
FGRRES_00280_M	-0.1332696	4.091954	0.7987045	0.8590021
FGRRES_00281	0.6737266	4.792442	0.1948873	0.2958198
FGRRES_00283	-0.3006118	4.633761	0.5691801	0.6704268
FGRRES_00284	-1.811899	5.679247	0.0009036473	0.003332411
FGRRES_00285	-2.486091	9.466421	0.0002728312	0.001184889
FGRRES_00286	1.300757	7.018976	0.02644481	0.05867752
FGRRES_00287	-0.9011218	3.802236	0.1334003	0.219097
FGRRES_00288	-0.1271044	4.642339	0.8063987	0.8637826
FGRRES_00291	1.165804	4.900642	0.02742275	0.06036898
FGRRES_00292	2.01917	5.030151	0.0006666284	0.002551999
FGRRES_00293	-0.5270682	4.621811	0.3242796	0.43861
FGRRES_00294	1.473583	4.413732	0.01180881	0.02988829
FGRRES_00295	-2.745592	3.558319	0.002076765	0.006792987
FGRRES_00296	1.763479	5.691849	0.0009933062	0.003604263
FGRRES_00297	-0.1886123	5.035263	0.730864	0.8050408
FGRRES_00298	-1.13857	7.68391	0.05391809	0.1056379
FGRRES_00299	0.478167	7.2499	0.4071621	0.5236738
FGRRES_00300	0.3551134	8.139109	0.5404833	0.6450258
FGRRES_00301	-0.2226628	4.677228	0.67321	0.7582345
FGRRES_00302	0.6418655	3.709792	0.2838978	0.395901
FGRRES_00303	-0.953142	4.687187	0.08254861	0.1488453
FGRRES_00304	0.4520319	4.516324	0.4027688	0.5198918
FGRRES_00305	1.924173	5.870634	0.002775994	0.008735246
FGRRES_00306	1.293317	6.827081	0.02077894	0.04801232
FGRRES_00307	0.02572924	3.829311	0.9731451	0.9813244
FGRRES_00308	-1.06993	7.398855	0.0720411	0.1334691
FGRRES_00309	0.08851791	4.548204	0.8887711	0.9216966
FGRRES_00310	0.6565126	7.806257	0.2578169	0.3674923
FGRRES_00312	-1.505553	3.308331	0.03653138	0.07679161
FGRRES_00313	-1.322738	3.653986	0.02629467	0.05841884
FGRRES_00314	-0.03075281	8.513474	0.9603528	0.9725398
FGRRES_00316	-1.437732	6.341668	0.0108692	0.02780846
FGRRES_00317	0.4356139	5.202515	0.3901265	0.5065857
FGRRES_00318	0.3943472	3.721018	0.5140036	0.621835
FGRRES_00319	0.4217218	3.101365	0.5084337	0.6165811
FGRRES_00320	2.143769	6.345988	9.874797e-05	0.0004821015
FGRRES_00321	1.325884	4.160875	0.04702454	0.0946684
FGRRES_00323	2.51363135829158	4.54210580137115	1.83571277835772e-05	0.000107808391685694
FGRRES_00324	-0.9099699	6.110674	0.08313379	0.1496767
FGRRES_00325	-0.1199909	3.112296	0.8643779	0.9048055
FGRRES_00327	0.5141433	5.321582	0.3253165	0.4396289
FGRRES_00328	1.145395	6.164077	0.03539005	0.0748564
FGRRES_00329	0.03452502	3.572633	0.9529209	0.9669082
FGRRES_00330	4.32810870085491	8.57880971154373	7.8307909699516e-09	1.0093536151649e-07
FGRRES_00331	-3.1121094245574	5.79157019743306	1.02498477237569e-07	1.05542312472423e-06
FGRRES_00332	-1.349476	5.672058	0.01666478	0.0398464
FGRRES_00333	-0.2010902	4.674447	0.7035873	0.7829355
FGRRES_00334	-0.8503533	2.987338	0.1720917	0.2674655
FGRRES_00335	-0.7168664	4.885304	0.1696017	0.2645559
