Query	Hit	Description	E-value
FGRRES_00001	FGSG_00001		7e-64
FGRRES_00002	FGSG_02876		3e-62
FGRRES_00003	FGSG_00003		0.0
FGRRES_00005	FGSG_02876		5e-79
FGRRES_00009	FGSG_00009		6e-154
FGRRES_00019	FGSG_00019		0.0
FGRRES_00029	FGSG_00029		3e-134
FGRRES_00030_M	FGSG_12604		2e-78
FGRRES_00033	FGSG_00033		3e-174
FGRRES_00038_M	FGSG_00038		9e-127
FGRRES_00072	FGSG_00072		0.0
FGRRES_00083	FGSG_02080		8e-68
FGRRES_00094	FGSG_00094		1e-138
FGRRES_00097	FGSG_00097		0.0
FGRRES_00105_M	FGSG_00105		0.0
FGRRES_00108	FGSG_02080		2e-68
FGRRES_00111	FGSG_00111		2e-98
FGRRES_00112	FGSG_00112		5e-101
FGRRES_00114	FGSG_00114		9e-71
FGRRES_00119	FGSG_00119		0.0
FGRRES_00120_M	FGSG_00120		0.0
FGRRES_00131	FGSG_00131		1e-150
FGRRES_00135	FGSG_00135		2e-95
FGRRES_00151	FGSG_00151		1e-178
FGRRES_00154	FGSG_00154		8e-71
FGRRES_00156_M	FGSG_00156		3e-85
FGRRES_00157	FGSG_00157		1e-71
FGRRES_00160	FGSG_00160		5e-91
FGRRES_00164	FGSG_00164		2e-87
FGRRES_00181	FGSG_00181		7e-79
FGRRES_00199	FGSG_00199		3e-157
FGRRES_00203	FGSG_11297		1e-70
FGRRES_00207	FGSG_00207		3e-113
FGRRES_00214	FGSG_00214		0.0
FGRRES_00219	FGSG_02080		3e-71
FGRRES_00222	FGSG_00222		0.0
FGRRES_00230	FGSG_00230		5e-93
FGRRES_00232	FGSG_00232		0.0
FGRRES_00237	FGSG_12625		4e-66
FGRRES_00242_M	FGSG_00242		0.0
FGRRES_00245	FGSG_00245		2e-133
FGRRES_00254	FGSG_00254		2e-107
FGRRES_00258	FGSG_00258		2e-87
FGRRES_00274	FGSG_00274		2e-100
FGRRES_00295	FGSG_00295		4e-114
FGRRES_00322_M	FGSG_00322		0.0
FGRRES_00326_M	FGSG_00326		0.0
FGRRES_00342	FGSG_00342		8e-157
FGRRES_00344_M	FGSG_00344		2e-178
FGRRES_00345	FGSG_02080		7e-72
FGRRES_00347	FGSG_00347		0.0
FGRRES_00354	FGSG_00354		2e-122
FGRRES_00381	FGSG_00381		0.0
FGRRES_00384	FGSG_00384		1e-170
FGRRES_00392	FGSG_00392		6e-75
FGRRES_00394	FGSG_00394		5e-105
FGRRES_00411	FGSG_00411		0.0
FGRRES_00412	FGSG_00412		0.0
FGRRES_00426	FGSG_00426		0.0
FGRRES_00431_M	FGSG_00431		0.0
FGRRES_00432	FGSG_00432		1e-76
FGRRES_00441	FGSG_00441		0.0
FGRRES_00453	FGSG_00453		1e-153
FGRRES_00483	FGSG_00483		0.0
FGRRES_00516	FGSG_00516		4e-153
FGRRES_00521	FGSG_00521		0.0
FGRRES_00522	FGSG_00522		3e-139
FGRRES_00528_M	FGSG_00528		0.0
FGRRES_00599	FGSG_00599		4e-116
FGRRES_00603	FGSG_00603		0.0
FGRRES_00605	FGSG_00605		2e-161
FGRRES_00606	FGSG_00606		2e-176
FGRRES_00619	FGSG_00619		1e-121
FGRRES_00624	FGSG_00624		0.0
FGRRES_00652	FGSG_00652		0.0
FGRRES_00668	FGSG_00668		9e-72
FGRRES_00674	FGSG_00674		2e-159
FGRRES_00678	FGSG_00678		0.0
FGRRES_00687_M	FGSG_00687		1e-68
FGRRES_00692	FGSG_00692		0.0
FGRRES_00733	FGSG_00733		3e-133
FGRRES_00734	FGSG_00734		0.0
FGRRES_00770	FGSG_00770		3e-77
FGRRES_00772	FGSG_00772		6e-111
FGRRES_00779	FGSG_00779		2e-103
FGRRES_00782	FGSG_00782		0.0
FGRRES_00789	FGSG_00789		0.0
FGRRES_00811	FGSG_10816		3e-66
FGRRES_00812	FGSG_00812		1e-145
FGRRES_00851	FGSG_00851		0.0
FGRRES_00867	FGSG_00867		4e-102
FGRRES_00889	FGSG_00889		0.0
FGRRES_00891	FGSG_00891		2e-92
FGRRES_00919	FGSG_00919		3e-70
FGRRES_00927	FGSG_00927		3e-74
FGRRES_00928	FGSG_00928		0.0
FGRRES_00936	FGSG_00936		0.0
FGRRES_00937	FGSG_00937		3e-103
FGRRES_00942	FGSG_00942		7e-161
FGRRES_00943	FGSG_00943		2e-127
FGRRES_00944	FGSG_00944		2e-170
FGRRES_00973	FGSG_00973		0.0
FGRRES_00980_M	FGSG_00980		6e-131
FGRRES_00992	FGSG_00992		0.0
FGRRES_00993	FGSG_00993		0.0
FGRRES_01047	FGSG_01047		0.0
FGRRES_01049	FGSG_01049		0.0
FGRRES_01076	FGSG_01076		5e-137
FGRRES_01077_M	FGSG_01077		5e-87
FGRRES_01078	FGSG_01078		3e-83
FGRRES_01087	FGSG_01087		7e-131
FGRRES_01089	FGSG_01089		4e-96
FGRRES_01140	FGSG_01140		1e-78
FGRRES_01143	FGSG_01143		3e-132
FGRRES_01146	FGSG_01146		0.0
FGRRES_01148	FGSG_01148		1e-134
FGRRES_01192	FGSG_01192		4e-99
FGRRES_01214	FGSG_01214		0.0
FGRRES_01218	FGSG_01218		2e-104
FGRRES_01253_M	FGSG_01253		1e-87
FGRRES_01286	FGSG_01286		9e-166
FGRRES_01303	FGSG_01303		2e-121
FGRRES_01327	FGSG_01327		0.0
FGRRES_01384	FGSG_01384		0.0
FGRRES_01455_M	FGSG_01455		9e-81
FGRRES_01458	FGSG_01458		0.0
FGRRES_01460	FGSG_01460		5e-75
FGRRES_01468	FGSG_01468		0.0
FGRRES_01474	FGSG_01474		1e-80
FGRRES_01479	FGSG_01479		3e-114
FGRRES_01491	FGSG_01491		0.0
FGRRES_01492	FGSG_01492		7e-77
FGRRES_01500	FGSG_01500		4e-75
FGRRES_01512	FGSG_01512		8e-116
FGRRES_01517	FGSG_01517		2e-89
FGRRES_01518	FGSG_01518		0.0
FGRRES_01529	FGSG_01529		4e-132
FGRRES_01532	FGSG_01532		0.0
FGRRES_01546	FGSG_01546		1e-101
FGRRES_01565	FGSG_01565		3e-106
FGRRES_01566	FGSG_01566		2e-100
FGRRES_01578	FGSG_01578		0.0
FGRRES_01588	FGSG_01588		0.0
FGRRES_01595	FGSG_01595		0.0
FGRRES_01597	FGSG_12604		4e-58
FGRRES_01598	FGSG_01598		0.0
FGRRES_01599	FGSG_01599		0.0
FGRRES_01607	FGSG_13834		1e-64
FGRRES_01608_M	FGSG_01608		0.0
FGRRES_01609	FGSG_01609		0.0
FGRRES_01617	FGSG_01617		3e-94
FGRRES_01628	FGSG_01628		3e-76
FGRRES_01634	FGSG_01634		0.0
FGRRES_01650_M	FGSG_01650		0.0
FGRRES_01660	FGSG_01660		0.0
FGRRES_01668	FGSG_01668		0.0
FGRRES_01688	FGSG_01688		3e-180
FGRRES_01700	FGSG_01700		0.0
FGRRES_01706	FGSG_01706		2e-111
FGRRES_01707	FGSG_01707		0.0
FGRRES_01712	FGSG_02080		1e-79
FGRRES_01714	FGSG_01714		2e-137
FGRRES_01718	FGSG_01718		0.0
FGRRES_01719	FGSG_01719		6e-156
FGRRES_01723_M	FGSG_01723		2e-108
FGRRES_01725	FGSG_01725		0.0
FGRRES_01726_M	FGSG_01726		0.0
FGRRES_01736_M	FGSG_01736		2e-76
FGRRES_01747	FGSG_01747		0.0
FGRRES_01761	FGSG_01761		9e-167
FGRRES_01777	FGSG_01777		0.0
FGRRES_01778	FGSG_01778		0.0
FGRRES_01779	FGSG_01779		0.0
FGRRES_01792	FGSG_02080		7e-67
FGRRES_01799_M	FGSG_01799		0.0
FGRRES_01801	FGSG_01801		0.0
FGRRES_01811	FGSG_04987		1e-64
FGRRES_01834	FGSG_01834		0.0
FGRRES_01858_M	FGSG_01858		2e-138
FGRRES_01859	FGSG_01859		5e-175
FGRRES_01860	FGSG_01860		1e-123
FGRRES_01879	FGSG_01879		1e-82
FGRRES_01913	FGSG_01913		0.0
FGRRES_01977	FGSG_13765		5e-86
FGRRES_01983	FGSG_01983		0.0
FGRRES_01984	FGSG_01984		2e-158
FGRRES_02017_M	FGSG_02017		3e-180
FGRRES_02021	FGSG_02021		1e-139
FGRRES_02023	FGSG_02023		9e-76
FGRRES_02036	FGSG_02036		6e-121
FGRRES_02037	FGSG_11665		1e-74
FGRRES_02042	FGSG_02042		0.0
FGRRES_02052	FGSG_02052		0.0
FGRRES_02061	FGSG_02061		4e-78
FGRRES_02065	FGSG_02065		2e-124
FGRRES_02067_M	FGSG_02067		0.0
FGRRES_02074	FGSG_02074		0.0
FGRRES_02076	FGSG_02076		2e-89
FGRRES_02085	FGSG_02085		0.0
FGRRES_02086	FGSG_02086		3e-119
FGRRES_02089	FGSG_02089		0.0
FGRRES_02103	FGSG_02103		6e-119
FGRRES_02104	FGSG_02104		0.0
FGRRES_02109	FGSG_02109		1e-176
FGRRES_02120	FGSG_02120		2e-136
FGRRES_02141	FGSG_02141		9e-179
FGRRES_02154_M	FGSG_02154		0.0
FGRRES_02164	FGSG_02164		0.0
FGRRES_02176	FGSG_02176		2e-153
FGRRES_02177	FGSG_02177		2e-123
FGRRES_02178_M	FGSG_02178		2e-67
FGRRES_02182	FGSG_02182		0.0
FGRRES_02184	FGSG_07589		3e-75
FGRRES_02198	FGSG_02198		0.0
FGRRES_02213	FGSG_02213		1e-94
FGRRES_02223	FGSG_02223		9e-152
FGRRES_02225	FGSG_02225		7e-86
FGRRES_02236	FGSG_02644		8e-64
FGRRES_02238	FGSG_02238		0.0
FGRRES_02241	FGSG_02241		0.0
FGRRES_02242	FGSG_02242		0.0
FGRRES_02243	FGSG_02243		3e-140
FGRRES_02246	FGSG_02246		0.0
FGRRES_02253_M	FGSG_02253		2e-163
FGRRES_02254	FGSG_02254		0.0
FGRRES_02255	FGSG_02255		2e-165
FGRRES_02260	FGSG_02260		5e-100
FGRRES_02275	FGSG_02275		1e-139
FGRRES_02276	FGSG_02276		0.0
FGRRES_02290	FGSG_02290		0.0
FGRRES_02293	FGSG_02293		0.0
FGRRES_02309	FGSG_02309		2e-108
FGRRES_02313	FGSG_02313		2e-71
FGRRES_02319	FGSG_02319		3e-150
FGRRES_02333_M	FGSG_02333		1e-142
FGRRES_02335	FGSG_02335		0.0
FGRRES_02336	FGSG_02336		4e-166
FGRRES_02348_M	FGSG_02348		0.0
FGRRES_02363	FGSG_02363		0.0
FGRRES_02369	FGSG_02369		3e-106
FGRRES_02372	FGSG_02372		2e-90
FGRRES_02373	FGSG_02373		3e-83
FGRRES_02378	FGSG_02378		4e-85
FGRRES_02380_M	FGSG_02380		1e-58
FGRRES_02389_M	FGSG_02389		0.0
FGRRES_02407	FGSG_08994		2e-95
FGRRES_02415	FGSG_02415		4e-150
FGRRES_02437	FGSG_02437		0.0
FGRRES_02438	FGSG_02438		0.0
FGRRES_02440	FGSG_02440		0.0
FGRRES_02443_M	FGSG_02443		7e-179
FGRRES_02447	FGSG_02447		0.0
FGRRES_02448	FGSG_02448		0.0
FGRRES_02451	FGSG_02451		5e-174
FGRRES_02464	FGSG_02464		0.0
FGRRES_02465	FGSG_12050		2e-76
FGRRES_02487	FGSG_02487		2e-144
FGRRES_02490	FGSG_02490		0.0
FGRRES_02514_M	FGSG_02514		0.0
FGRRES_02516	FGSG_02516		0.0
FGRRES_02517	FGSG_02517		3e-84
FGRRES_02537	FGSG_02537		2e-81
FGRRES_02552	FGSG_02552		0.0
FGRRES_02568	FGSG_02568		0.0
FGRRES_02579_M	FGSG_02579		3e-130
FGRRES_02582	FGSG_00003		8e-109
FGRRES_02618	FGSG_02618		1e-139
FGRRES_02620_M	FGSG_02620		3e-91
FGRRES_02642_M	FGSG_02642		7e-108
FGRRES_02644_M	FGSG_02644		0.0
FGRRES_02651	FGSG_03827		2e-61
FGRRES_02654	FGSG_02654		0.0
FGRRES_02670	FGSG_02670		3e-178
FGRRES_02673_M	FGSG_02673		5e-92
FGRRES_02723	FGSG_02723		1e-88
FGRRES_02739	FGSG_02739		4e-96
FGRRES_02740	FGSG_02740		4e-103
FGRRES_02745	FGSG_02745		0.0
FGRRES_02750	FGSG_02750		0.0
FGRRES_02796	FGSG_02796		2e-150
