Query	Hit	Description	E-value
FGRRES_00011	FGSG_00011		0.0
FGRRES_00012	FGSG_00012		0.0
FGRRES_00013	FGSG_00013		0.0
FGRRES_00014_M	FGSG_00014		0.0
FGRRES_00015	FGSG_00015		0.0
FGRRES_00026_M	FGSG_00026		0.0
FGRRES_00034	FGSG_00034		0.0
FGRRES_00043	FGSG_00043		0.0
FGRRES_00046	FGSG_00046		0.0
FGRRES_00052	FGSG_00052		0.0
FGRRES_00053	FGSG_00053		0.0
FGRRES_00058	FGSG_00058		0.0
FGRRES_00067	FGSG_00067		0.0
FGRRES_00069	FGSG_00069		0.0
FGRRES_00070	FGSG_00070		0.0
FGRRES_00071	FGSG_00071		0.0
FGRRES_00075	FGSG_08821		1e-142
FGRRES_00076	FGSG_00076		0.0
FGRRES_00078	FGSG_00078		0.0
FGRRES_00083	FGSG_00083		0.0
FGRRES_00085	FGSG_00085		0.0
FGRRES_00087	FGSG_00087		0.0
FGRRES_00102	FGSG_00102		0.0
FGRRES_00107	FGSG_00107		0.0
FGRRES_00108	FGSG_00108		0.0
FGRRES_00116	FGSG_00116		0.0
FGRRES_00117	FGSG_00117		7e-177
FGRRES_00118	FGSG_00118		0.0
FGRRES_00136	FGSG_00136		0.0
FGRRES_00144	FGSG_00144		0.0
FGRRES_00147	FGSG_00147		0.0
FGRRES_00148	FGSG_00148		0.0
FGRRES_00152	FGSG_00152		0.0
FGRRES_00161	FGSG_00161		0.0
FGRRES_00174	FGSG_00174		4e-141
FGRRES_00179	FGSG_00179		0.0
FGRRES_00182	FGSG_00182		0.0
FGRRES_00183	FGSG_00183		0.0
FGRRES_00195	FGSG_00195		0.0
FGRRES_00196_M	FGSG_00196		0.0
FGRRES_00197	FGSG_00197		0.0
FGRRES_00217	FGSG_00217		0.0
FGRRES_00219	FGSG_00219		0.0
FGRRES_00226	FGSG_00226		0.0
FGRRES_00227	FGSG_00227		0.0
FGRRES_00235	FGSG_00235		0.0
FGRRES_00280_M	FGSG_00280		0.0
FGRRES_00287	FGSG_00287		0.0
FGRRES_00306	FGSG_00306		0.0
FGRRES_00313	FGSG_00313		0.0
FGRRES_00318	FGSG_00318		0.0
FGRRES_00319	FGSG_00319		0.0
FGRRES_00321	FGSG_00321		0.0
FGRRES_00324	FGSG_00324		0.0
FGRRES_00330	FGSG_00330		0.0
FGRRES_00342	FGSG_00342		1e-156
FGRRES_00345	FGSG_00345		0.0
FGRRES_00351_M	FGSG_00351		0.0
FGRRES_00352	FGSG_00352		0.0
FGRRES_00359	FGSG_00359		0.0
FGRRES_00371	FGSG_00371		0.0
FGRRES_00372	FGSG_00372		0.0
FGRRES_00376	FGSG_00376		0.0
FGRRES_00377	FGSG_00377		1e-134
FGRRES_00385	FGSG_00385		1e-68
FGRRES_00404	FGSG_00404		0.0
FGRRES_00405	FGSG_00405		0.0
FGRRES_00416	FGSG_00416		0.0
FGRRES_00426	FGSG_00426		0.0
FGRRES_00427	FGSG_00427		0.0
FGRRES_00457	FGSG_00457		0.0
FGRRES_00477	FGSG_00477		0.0
FGRRES_00508	FGSG_00508		0.0
