Query	Hit	Description	E-value
FGRRES_00006	257|PHI:257|GAS2|AAF74764|318829|Magnaporthe	oryzae|Reduced virulence	1e-71
FGRRES_00011	1992|PHI:1992|GzZC307|I1R983|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00012	438|PHI:438|BcBOT1	(related: CND5)|AAQ16576|40559|Botrytis cinerea|Reduced virulence	1e-33
FGRRES_00013	2968|PHI:2968|Hxs1|J9VQA5|5207|Cryptococcus	neoformans|Reduced virulence	7e-53
FGRRES_00015	538|PHI:538|FRT1|AAU87358|40559|Botrytis	cinerea|Unaffected pathogenicity	1e-18
FGRRES_00025	1736|PHI:1736|GzZC051|I1S4F3|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	4e-06
FGRRES_00026_M	812|PHI:812|MGG_10702|EDJ94108|318829|Magnaporthe	oryzae|Reduced virulence	2e-59
FGRRES_00028	479|PHI:479|MEP1|AAQ07436|199306|Coccidioides	posadasii|Reduced virulence	1e-83
FGRRES_00034	2240|PHI:2240|Srt1|Q4PBY9|5270|Ustilago	maydis|reduced virulence	2e-32
FGRRES_00036	96|PHI:96|FAS2|AAA34345|5476|Candida	albicans|Loss of pathogenicity	0.0
FGRRES_00046	267|PHI:267|MLT1|AAD51594|5476|Candida	albicans|Reduced virulence	3e-69
FGRRES_00047	3274	| dhbF | PHI:3274 | W2E906 | 147375 | Paenibacillus larvae | unaffected pathogenicity	2e-07
FGRRES_00049	157|PHI:157|TOXF|AAD45321|5017|Cochliobolus	carbonum|Loss of pathogenicity	2e-99
FGRRES_00051	143|PHI:143|CHT|AAA33353|5563|Gloeocercospora	sorghi|Unaffected pathogenicity	5e-65
FGRRES_00052	1998|PHI:1998|GzZC313|I1R9B9|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00053	419|PHI:419|CSH1|AAP93915|5476|Candida	albicans|Reduced virulence	4e-31
FGRRES_00054	784|PHI:784|MGG_00056|EDK03390|318829|Magnaporthe	oryzae|Reduced virulence	3e-10
FGRRES_00058	1555|PHI:1555|GzMyb019|I1RDG6|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	2e-46
FGRRES_00067	2968|PHI:2968|Hxs1|J9VQA5|5207|Cryptococcus	neoformans|Reduced virulence	5e-25
FGRRES_00069	2000|PHI:2000|GzZC315|I1R9D4|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00070	2240|PHI:2240|Srt1|Q4PBY9|5270|Ustilago	maydis|reduced virulence	1e-43
FGRRES_00071	2393|PHI:2393|Related	to O-methylsterigmatocystin oxidoreductase|I1R980|5518|Gibberella zeae (related: Fusarium graminearum)|Increased virulence (Hypervirulence)	5e-09
FGRRES_00078	419|PHI:419|CSH1|AAP93915|5476|Candida	albicans|Reduced virulence	1e-29
FGRRES_00082	541|PHI:541|LIP1|AAU87359|332648|Botrytis	cinerea|Unaffected pathogenicity	2e-24
FGRRES_00083	1662|PHI:1662|GzCCHC002|I1REJ1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	2e-67
FGRRES_00085	1662|PHI:1662|GzCCHC002|I1REJ1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	8e-20
FGRRES_00087	2968|PHI:2968|Hxs1|J9VQA5|5207|Cryptococcus	neoformans|Reduced virulence	1e-26
FGRRES_00090	2834|PHI:2834|LAM1|C3PTB1|5016|Cochliobolus	heterostrophus|Reduced virulence	4e-09
FGRRES_00092	413|PHI:413|MPD1|AAT84078|13684|Stagonospora	nodorum|Unaffected pathogenicity	1e-59
FGRRES_00100	1046|PHI:1046|CTB5|ABK64182|29003|Cercospora	nicotianae|Reduced virulence	1e-45
FGRRES_00101	404|PHI:404|PTH11|AAD30436|318829|Magnaporthe	oryzae|Reduced virulence	5e-19
FGRRES_00102	1997|PHI:1997|GzZC312|I1R9G3|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00103	2654|PHI:2654|DUR1,2|Q59VF3|5476|Candida	albicans|Reduced virulence	2e-17
FGRRES_00107	2968|PHI:2968|Hxs1|J9VQA5|5207|Cryptococcus	neoformans|Reduced virulence	2e-51
FGRRES_00108	1662|PHI:1662|GzCCHC002|I1REJ1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	4e-68
FGRRES_00119	1424|PHI:1424|GzC2H092|I1S3J7|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	4e-08
FGRRES_00126	2822|PHI:2822|Cxt1p|Q5K8R6|5207|Cryptococcus	neoformans|Reduced virulence	1e-40
FGRRES_00132	1271|PHI:1271|FGSG_00792|I1R9J1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00140	1260|PHI:1260|FGSG_13944|I1RUC7|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	4e-11
FGRRES_00144	1991|PHI:1991|GzZC306|I1R9K1|5518|Gibberella	zeae (related: Fusarium graminearum)|Lethal	0.0
FGRRES_00145	3383	| FVEG_12531 | PHI:3383 | W7N2A8 | 117187 | Fusarium verticillioides | unaffected pathogenicity	2e-75
FGRRES_00147	1990|PHI:1990|GzZC305|I1R9K3|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00148	1662|PHI:1662|GzCCHC002|I1REJ1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	2e-39
FGRRES_00150	2839|PHI:2839|RED1|Q8NJQ2|5016|Cochliobolus	heterostrophus|Reduced virulence	9e-118
FGRRES_00166	191|PHI:191|TOM1|AAB08446|39703|Septoria	lycopersici|Unaffected pathogenicity	2e-177
FGRRES_00170	1061|PHI:1061|MgRho3|ABK60346|318829|Magnaporthe	oryzae|Loss of pathogenicity	7e-130
FGRRES_00175	447|PHI:447|MCSA|CAI61947|5085|Aspergillus	fumigatus|Reduced virulence	0.0
FGRRES_00176	261|PHI:261|ICL1|AAM89498|5022|Leptosphaeria	maculans|Reduced virulence	5e-173
FGRRES_00177	784|PHI:784|MGG_00056|EDK03390|318829|Magnaporthe	oryzae|Reduced virulence	3e-32
