Query	Hit	Description	E-value
FGRRES_00192	FGSG_03315		1e-71
FGRRES_00806	FGSG_03315		4e-138
FGRRES_01588	FGSG_01588		0.0
FGRRES_01594	FGSG_01594		6e-125
FGRRES_01822	FGSG_01822		0.0
FGRRES_02255	FGSG_02255		2e-167
FGRRES_02976	FGSG_03315		9e-63
FGRRES_03315	FGSG_03315		0.0
FGRRES_03550	FGSG_03550		3e-111
FGRRES_03575	FGSG_16163		1e-114
FGRRES_03624	FGSG_10999		9e-82
FGRRES_03958	FGSG_03958		0.0
FGRRES_03969	FGSG_03969		0.0
FGRRES_04521	FGSG_04521		0.0
FGRRES_04597_M	FGSG_04597		6e-154
FGRRES_04763	FGSG_17084		1e-55
FGRRES_04841	FGSG_04841		0.0
FGRRES_05947	FGSG_05947		0.0
FGRRES_06467	FGSG_17084		3e-72
FGRRES_07569	FGSG_10561		0.0
FGRRES_07625	FGSG_07625		0.0
FGRRES_07629	FGSG_07629		0.0
FGRRES_07684_M	FGSG_07684		3e-166
FGRRES_08012	FGSG_03315		4e-70
FGRRES_08196	FGSG_08196		0.0
FGRRES_08245	FGSG_08245		0.0
FGRRES_08464	FGSG_03315		3e-103
FGRRES_09137	FGSG_16163		7e-141
FGRRES_09382	FGSG_03315		2e-82
FGRRES_10525	FGSG_03315		4e-123
FGRRES_10560	FGSG_10560		0.0
FGRRES_10561	FGSG_10561		0.0
FGRRES_10562	FGSG_10562		0.0
FGRRES_10595	FGSG_03315		6e-92
FGRRES_10712	FGSG_03315		3e-93
FGRRES_10999	FGSG_10999		4e-173
FGRRES_11405	FGSG_03315		2e-101
FGRRES_12081	FGSG_12081		4e-101
FGRRES_12405_M	FGSG_12405		6e-124
FGRRES_13955	FGSG_13955		0.0
FGRRES_15175	FGSG_15175		8e-60
FGRRES_15917_M	FGSG_10999		2e-83
FGRRES_15974	FGSG_17084		5e-54
FGRRES_15977	FGSG_15977		0.0
FGRRES_16080_M	FGSG_10561		2e-151
FGRRES_16163	FGSG_16163		0.0
FGRRES_16654	FGSG_10561		8e-99
FGRRES_17084	FGSG_17084		0.0
FGRRES_20327	FGSG_07625		0.0
