# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+splice_region_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_splice_region_variant+synonymous_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_gained+splice_region_variant	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
Exon_1_10054117_10054161	Gene_FGRRES_10164	FGRRES_10164		0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10084683_10084948	Gene_FGRRES_10170	FGRRES_10170		0	0	1	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500	1	0	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10086262_10086789	Gene_FGRRES_10171	FGRRES_10171		0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	500	1	0	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10090066_10090596	Gene_FGRRES_10173	FGRRES_10173		0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	500	2	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10092183_10092733	Gene_FGRRES_10174	FGRRES_10174		0	5	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	6	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10097962_10100049	Gene_FGRRES_10175	FGRRES_10175		0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	500	1	0	2088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10100828_10101401	Gene_FGRRES_10176	FGRRES_10176		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10102518_10102598	Gene_FGRRES_10177	FGRRES_10177		0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10145808_10145871	Gene_FGRRES_10189	FGRRES_10189		0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10165837_10166952	Gene_FGRRES_10196	FGRRES_10196		0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	138	1	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
